node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
N2068|B1,0.018518518518518517,0.011764705882352941,0.001589825119236884,0.018813775510204078,0.010218063105425931,0.0056179775280898875,0.00510204081632653,0.001589825119236884,0.011902737285390347,0.010006153946228672,0.00010111239056386652,2.8974772842347526e-05,0.001589825119236884,0.00010111239056386652,0.011362081209264952
N6706|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,3.4522439585730723e-05,0.0,0.0,0.0
N2069|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,3.4522439585730723e-05,0.0,0.0,3.4522439585730723e-05,0.019661551290380695
N2070|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,5.753739930955121e-05,0.0,0.0,0.0
N2070|B1,0.05555555555555555,0.011764705882352941,0.004769475357710652,0.05644132653061225,0.06130837863255561,0.016853932584269662,0.00510204081632653,0.004769475357710652,0.03570821185617104,0.06003692367737205,0.00028768699654775604,2.3014959723820486e-05,0.004769475357710652,0.00025891829689298043,0.05898465387114209
N2070|B5,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00011507479861910242,0.0,0.0,0.0
N2070|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00011507479861910242,0.0,0.0,0.0
N6707|B17,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.000855186398273878,0.0,0.0,0.0
N2071|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,0.000855186398273878,0.0,0.0,0.000855186398273878,0.019661551290380695
N2072|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.010218063105425931,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.0028589011274939083,0.00013029171461449943,0.0,0.0,0.00013029171461449943,0.003762666137649546
N6708|B9,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0030761829936708862,0.0,0.0,0.0
N2073|B1,0.07407407407407407,0.0,0.0,0.07525510204081631,0.07152644173798153,0.028089887640449437,0.0,0.0,0.05441251330464158,0.06670769297485782,0.0004664480070195627,0.0,0.0,0.00019018006868100855,0.06070073778180857
N6709|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,2.8510149597238205e-05,0.0,0.0,0.0
N6710|B9,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00014337354913693902,0.0,0.0,0.0
N6711|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,2.6071346375143843e-05,0.0,0.0,0.0
N2074|B14,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,1.5535097813578827e-05,0.0,0.0,0.0
N2074|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,1.5535097813578827e-05,0.0,0.0,1.5535097813578823e-05,0.019661551290380695
N2075|B1,0.16666666666666666,0.08235294117647059,0.20349761526232116,0.16734358216971,0.2364835655730513,0.0898876404494382,0.10714285714285714,0.20349761526232116,0.15424122181962702,0.2530604986392827,0.005272727272727273,0.004875180915074799,0.20349761526232116,0.0007062539488697042,0.25265729762059347
N2075|B3,0.018518518518518517,0.011764705882352941,0.0,0.10256542132982226,0.032580887623156286,0.033707865168539325,0.015306122448979591,0.0,0.13523109924241805,0.06974552092281108,0.0010246864326812427,0.0003222094361334868,0.0,0.0006790586595066565,0.05077177262004394
N6712|B4,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,2.5316455696202533e-05,0.0,0.0,0.0
N6713|B5,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,3.4522439585730723e-05,0.0,0.0,0.0
N6713|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0003912543153049482,0.0,0.0,0.0
N2075|B17,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00017261219792865363,0.0,0.0,0.0
N2075|B5,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0001380897583429229,0.0,0.0,0.0
N2075|B4,0.018518518518518517,0.011764705882352941,0.0,0.10256542132982226,0.032580887623156286,0.011235955056179775,0.00510204081632653,0.0,0.10848876950459156,0.023248506974270357,0.0004540008463751439,0.0001611047180667434,0.0,0.0006457335331383638,0.022495103874022673
N2076|B10,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.00023014959723820485,0.0,0.0,0.0
N2076|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.011235955056179775,0.0,0.0,0.023805474570780694,0.020012307892457355,0.00023014959723820485,0.0,0.0,0.0002301495972382048,0.019661551290380695
N2077|B5,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,5.753739930955121e-05,0.0,0.0,0.0
N2077|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,5.753739930955121e-05,0.0,0.0,5.75373993095512e-05,0.019661551290380695
N2078|B30,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,5.753739930955121e-05,0.0,0.0,0.0
N2078|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,5.753739930955121e-05,0.0,0.0,5.75373993095512e-05,0.019661551290380695
N2079|B4,0.018518518518518517,0.011764705882352941,0.0,0.02508503401360544,0.134952040066881,0.0056179775280898875,0.01020408163265306,0.0,0.01587031638052046,0.13226837335768832,0.00017261219792865363,0.00033947065592635216,0.0,0.0002350463971794432,0.13010980318794454
N2079|B1,0.037037037037037035,0.011764705882352941,0.001589825119236884,0.037627551020408156,0.13453489773226757,0.016853932584269662,0.00510204081632653,0.001589825119236884,0.03174063276104092,0.13185532692012428,0.000523590333716916,0.00017261219792865363,0.001589825119236884,0.00047749718635794585,0.12969327362058528
N6714|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00018411967779056389,0.0,0.0,0.0
N2080|B5,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,6.731875719217492e-05,0.0,0.0,0.0
N2080|B1,0.037037037037037035,0.0,0.0,0.037627551020408156,0.030654189316277815,0.011235955056179775,0.0,0.0,0.023805474570780694,0.030018461838686023,8.01630749136939e-05,0.0,0.0,4.3145226498609745e-05,0.027919648597347125
N6715|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.00027487063567318757,0.0,0.0,0.0
N2081|B1,0.05555555555555555,0.10588235294117647,0.04292527821939587,0.05644132653061225,0.06130837863255561,0.028089887640449437,0.05612244897959183,0.04292527821939587,0.05356231778425657,0.06003692367737205,0.000513890490909091,0.0010881558467203682,0.04292527821939587,0.00041631803094106313,0.05898465387114209
N6716|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,8.806185753739931e-05,0.0,0.0,0.0
N6717|B14,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.00015095799769850404,0.0,0.0,0.0
N6718|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,3.517391254315305e-05,0.0,0.0,0.0
N2082|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,3.517391254315305e-05,0.0,0.0,3.517391254315305e-05,0.019661551290380695
N6719|B14,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0002265498020713464,0.0,0.0,0.0
N2083|B1,0.018518518518518517,0.0,0.0,0.018813775510204078,0.02043612621085187,0.0056179775280898875,0.0,0.0,0.011902737285390347,0.020012307892457355,0.0002265498020713464,0.0,0.0,0.00022654980207134634,0.019661551290380695
N2084|B1,0.037037037037037035,0.0,0.0,0.037627551020408156,0.025545157763564835,0.028089887640449437,0.0,0.0,0.038088759313249114,0.02890666695577172,0.00039546056386651325,0.0,0.0,6.476962572636215e-05,0.0341553377283632
N6720|B3,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,1.6915995397008057e-05,0.0,0.0,0.0
N6721|B43,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,1.4384349827387803e-05,0.0,0.0,0.0
