source,target,amount_tx_idr,trx,type
N5035 (B4),N114 (B1),1200000000.0,3,INCOMING
N5036 (B5),N115 (B1),2650000000.0,1,INCOMING
N5037 (B5),N116 (B1),256316053.0,1,INCOMING
N5038 (B5),N116 (B1),105440000.0,1,INCOMING
N5039 (B17),N116 (B1),1692849142.0,1,INCOMING
N5040 (B17),N116 (B1),2754336000.0,1,INCOMING
N117 (B7),N117 (B1),1234000000.0,1,INCOMING
N117 (B3),N117 (B1),1281000000.0,1,INCOMING
N117 (B4),N117 (B1),600000000.0,1,INCOMING
N117 (B11),N117 (B1),3000000000.0,1,INCOMING
N5041 (B22),N118 (B1),781687000.0,1,INCOMING
N5042 (B4),N119 (B1),2500000000.0,1,INCOMING
N5043 (B3),N120 (B1),1305000000.0,3,INCOMING
N120 (B3),N120 (B1),135000000.0,1,INCOMING
N121 (B4),N121 (B1),7800000000.0,12,INCOMING
N5044 (B3),N121 (B1),4600000000.0,11,INCOMING
N5045 (B4),N121 (B1),500000000.0,1,INCOMING
N5046 (B4),N122 (B1),1000000000.0,1,INCOMING
N5047 (B18),N123 (B1),4297665623.0,3,INCOMING
N5048 (B18),N123 (B1),4757303735.0,2,INCOMING
N5049 (B18),N123 (B1),1922974285.0,5,INCOMING
N5050 (B18),N123 (B1),3933307319.0,1,INCOMING
N5051 (B18),N123 (B1),559454131.0,1,INCOMING
N5052 (B18),N123 (B1),1153411644.0,1,INCOMING
N5053 (B18),N123 (B1),5613258865.0,2,INCOMING
N124 (B4),N124 (B1),150000000.0,1,INCOMING
N124 (B5),N124 (B1),400000000.0,1,INCOMING
N5054 (B3),N125 (B1),208956000.0,1,INCOMING
N4973 (B13),N125 (B1),9641450100.0,1,INCOMING
N5055 (B16),N125 (B1),4303941070.0,1,INCOMING
N5056 (B4),N126 (B1),285000000.0,1,INCOMING
N127 (B4),N127 (B1),600000001.0,2,INCOMING
N5057 (B5),N128 (B1),397518068.0,1,INCOMING
N129 (B7),N129 (B1),1000000000.0,1,INCOMING
N5058 (B33),N129 (B1),713100000.0,2,INCOMING
N130 (B4),N130 (B1),260000000.0,1,INCOMING
N131 (B4),N131 (B1),2768000000.0,3,INCOMING
N5059 (B4),N131 (B1),1356584317.0,3,INCOMING
N5060 (B24),N132 (B1),207900000.0,1,INCOMING
N5061 (B18),N133 (B1),126436694.0,1,INCOMING
N5062 (B4),N134 (B1),700000000.0,1,INCOMING
N5063 (B17),N135 (B1),5723300629.0,2,INCOMING
N136 (B34),N136 (B1),985000000.0,1,INCOMING
N137 (B11),N137 (B1),124000000.0,1,INCOMING
N5064 (B3),N138 (B1),315000000.0,1,INCOMING
N5065 (B35),N139 (B1),7597427701.0,2,INCOMING
N5066 (B3),N140 (B1),104840000.0,1,INCOMING
N5067 (B3),N141 (B1),300000000.0,1,INCOMING
N5068 (B10),N142 (B1),252136840.0,2,INCOMING
N143 (B11),N143 (B1),1110000000.0,3,INCOMING
N5069 (B3),N144 (B1),450000000.0,1,INCOMING
N144 (B5),N144 (B1),2999907636.0,4,INCOMING
N145 (B3),N145 (B1),1000000000.0,1,INCOMING
N5070 (B36),N146 (B1),3122158680.0,28,INCOMING
N146 (B3),N146 (B1),6230102356.0,15,INCOMING
N5071 (B18),N147 (B1),108452054.8,1,INCOMING
N5072 (B4),N148 (B1),1804544750.0,5,INCOMING
N149 (B17),N149 (B1),620000000.0,1,INCOMING
N149 (B11),N149 (B1),340000000.0,1,INCOMING
N149 (B18),N149 (B1),470000000.0,1,INCOMING
N5073 (B9),N150 (B1),2498385553.0,1,INCOMING
N5074 (B3),N151 (B1),492191744.0,2,INCOMING
N5075 (B13),N151 (B1),204084980.0,1,INCOMING
N5076 (B13),N151 (B1),114673328.0,1,INCOMING
N5077 (B13),N151 (B1),119163814.0,1,INCOMING
N5078 (B13),N151 (B1),384646189.0,1,INCOMING
N152 (B4),N152 (B1),2600000000.0,1,INCOMING
N5079 (B14),N153 (B1),25538953921.0,15,INCOMING
N5079 (B14),N153 (B1),25538953921.0,15,INCOMING
N5080 (B17),N153 (B1),1601990252.0,2,INCOMING
N153 (B4),N153 (B1),2500000000.0,1,INCOMING
N154 (B3),N154 (B1),150000000.0,1,INCOMING
N5081 (B16),N155 (B1),674459520.0,1,INCOMING
N156 (B4),N156 (B1),710289360.0,1,INCOMING
N157 (B4),N157 (B1),790204205.0,1,INCOMING
N5082 (B28),N158 (B1),3500000000.0,1,INCOMING
N5083 (B4),N158 (B1),4100000000.0,1,INCOMING
N5084 (B14),N159 (B1),392802562.0,1,INCOMING
N160 (B27),N160 (B1),200000000.0,1,INCOMING
N5085 (B17),N161 (B1),200000000.0,1,INCOMING
N5086 (B17),N162 (B1),1265122500.0,1,INCOMING
N5087 (B4),N163 (B1),2221110000.0,2,INCOMING
N5088 (B3),N164 (B1),178670000.0,1,INCOMING
N5089 (B3),N164 (B1),250000000.0,1,INCOMING
N5090 (B4),N165 (B1),779375602.0,2,INCOMING
N5091 (B3),N165 (B1),4971838518.0,4,INCOMING
N166 (B4),N166 (B1),37500000000.0,11,INCOMING
N167 (B10),N167 (B1),200000000.0,1,INCOMING
N5092 (B4),N168 (B1),4605000000.0,2,INCOMING
N168 (B3),N168 (B1),8000000000.0,2,INCOMING
N5093 (B4),N169 (B1),105000000.0,1,INCOMING
N5094 (B9),N170 (B1),972591000.0,4,INCOMING
N171 (B17),N171 (B1),555000000.0,4,INCOMING
N171 (B3),N171 (B1),370000000.0,1,INCOMING
N172 (B14),N172 (B1),13026000000.0,1,INCOMING
N5095 (B8),N173 (B1),2166379740.0,1,INCOMING
N5096 (B24),N173 (B1),1248959748.0,1,INCOMING
N5097 (B31),N174 (B1),1442500000.0,1,INCOMING
N175 (B4),N175 (B1),23687792565.0,15,INCOMING
N175 (B9),N175 (B1),3270000000.0,2,INCOMING
N175 (B14),N175 (B1),1140721000.0,1,INCOMING
N175 (B3),N175 (B1),1441445000.0,3,INCOMING
N175 (B4),N175 (B1),23687792565.0,15,INCOMING
N175 (B13),N175 (B1),4500000000.0,1,INCOMING
N175 (B4),N175 (B1),23687792565.0,15,INCOMING
N176 (B4),N176 (B1),1178000000.0,1,INCOMING
N177 (B4),N177 (B1),150000000.0,1,INCOMING
N178 (B30),N178 (B1),2500000000.0,1,INCOMING
N178 (B11),N178 (B1),2000000000.0,1,INCOMING
N179 (B3),N179 (B1),1000000000.0,1,INCOMING
N5098 (B17),N180 (B1),5565174361.0,1,INCOMING
N5099 (B37),N181 (B1),0.03,1,INCOMING
N182 (B4),N182 (B1),2050000000.0,2,INCOMING
