,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
7971,N7659|B4,1,0,0.0,7.980845969672785e-05,6.322679713749593e-05,3,0,0.0,0.00023942537909018354,6.708880387498416e-05,1116005300.0,0.0,0.0,89066.66400638467,5.583043407310346e-05
7972,N7660|B4,1,0,0.0,7.980845969672785e-05,6.322679713749593e-05,1,0,0.0,7.980845969672785e-05,5.508970010893738e-05,167500000.0,0.0,0.0,13367.916999201914,4.997349321187313e-05
7973,N3440|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,536000000.0,0.0,0.0,4.8939194727451286e-05
7974,N7661|B30,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,536000000.0,0.0,0.0,42777.33439744613,9.0826772344511e-05
7975,N3441|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1000000000.0,0.0,0.0,4.8939194727451286e-05
7976,N7662|B108,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,1000000000.0,0.0,0.0,79808.45969672783,9.0826772344511e-05
7977,N1456|B106,1,0,0.0,0.00015347780710909205,9.576577510169815e-05,1,0,0.0,0.00018138286294710877,8.572452716926039e-05,3000000000.0,0.0,0.0,131759.20008196754,8.392132164773358e-05
7978,N1456|B3,1,0,0.0,0.00015347780710909205,9.576577510169815e-05,1,0,0.0,0.00018138286294710877,8.572452716926039e-05,4000000000.0,0.0,0.0,135487.22774916596,9.558203062116102e-05
7979,N7663|B4,1,0,0.0,0.00010641127959563712,0.00012706415894060016,1,0,0.0,0.00012769353551476457,0.0001268072717213547,444000000.0,0.0,0.0,63789.29991961686,0.00012646552422241613
7980,N3442|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1461500000.0,0.0,0.0,4.8939194727451286e-05
7981,N3442|B43,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,1461500000.0,0.0,0.0,116640.06384676775,9.0826772344511e-05
7982,N3443|B1,0,2,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,15511766504.0,0.0,0.0,4.8939194727451286e-05
7983,N3443|B3,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,7755883252.0,0.0,0.0,618985.0959297685,6.988298353598115e-05
7984,N7664|B3,1,0,0.0,7.980845969672785e-05,7.023977543933437e-05,1,0,0.0,7.980845969672785e-05,7.008857981649587e-05,7755883252.0,0.0,0.0,618985.0959297685,6.988298353598115e-05
7985,N7665|B4,1,0,0.0,0.00018241933644966364,0.00019863505613210107,1,0,0.0,0.00018241933644966364,0.00019824779234990859,1500000000.0,0.0,0.0,166556.78545404074,0.00019774302797822635
7986,N3444|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,500000000.0,0.0,0.0,4.8939194727451286e-05
7987,N3444|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,500000000.0,0.0,0.0,39904.22984836392,9.0826772344511e-05
7988,N3445|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,573023550.5,0.0,0.0,4.8939194727451286e-05
7989,N3445|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,2,0,0.0,0.0001596169193934557,9.108701140707776e-05,573023550.5,0.0,0.0,45732.12693535515,9.0826772344511e-05
7990,N3446|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,140000000.0,0.0,0.0,4.8939194727451286e-05
7991,N7666|B3,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,140000000.0,0.0,0.0,11173.184357541899,9.0826772344511e-05
7992,N7667|B4,1,0,0.0,0.00010641127959563712,0.00012706415894060016,1,0,0.0,0.00010641127959563712,0.0001268072717213547,400000000.0,0.0,0.0,58389.779060170105,0.00012646552422241613
7993,N1373|B3,1,0,0.0,0.00010641127959563712,0.00012706415894060016,1,0,0.0,0.00010641127959563712,0.0001268072717213547,5000000000.0,0.0,0.0,532056.3979781857,0.00012646552422241613
7994,N321|B3,1,0,0.0,0.00010641127959563712,7.515528000274607e-05,1,0,0.0,0.00010641127959563712,7.499585605772754e-05,5300000000.0,0.0,0.0,113348.87772613701,9.876117408650262e-05
7995,N321|B106,1,0,0.0,0.00010641127959563712,7.515528000274607e-05,1,0,0.0,0.00010641127959563712,7.499585605772754e-05,1200000000.0,0.0,0.0,77753.98449661405,6.0219642884217636e-05
7996,N3447|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1000000000.0,0.0,0.0,4.8939194727451286e-05
7997,N7668|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,1000000000.0,0.0,0.0,79808.45969672783,9.0826772344511e-05
7998,N3448|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,241000000.0,0.0,0.0,4.8939194727451286e-05
7999,N3448|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,241000000.0,0.0,0.0,19233.838786911412,9.0826772344511e-05
8000,N3449|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,2000000000.0,0.0,0.0,4.8939194727451286e-05
8001,N3449|B4,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,2000000000.0,0.0,0.0,159616.91939345567,9.0826772344511e-05
8002,N3450|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,2,0.0,0.0,4.909014822591398e-05,0.0,4500000000.0,0.0,0.0,4.8939194727451286e-05
8003,N3450|B7,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,2,0,0.0,0.0001596169193934557,9.108701140707776e-05,4500000000.0,0.0,0.0,359138.0686352753,9.0826772344511e-05
8004,N694|B3,1,0,0.0,0.00010641127959563712,0.00010917143464272492,1,0,0.0,0.00010641127959563712,0.00010894714156421621,1190000000.0,0.0,0.0,126619.89392838565,0.00010467523029530771
8005,N3451|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,500000000.0,0.0,0.0,4.8939194727451286e-05
8006,N3451|B14,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,500000000.0,0.0,0.0,39904.22984836392,9.0826772344511e-05
8007,N3452|B1,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,104173600.0,0.0,0.0,4.8939194727451286e-05
