entity,in_degree,out_degree,total_degree
N5100 (B5),0.0,1.0,1.0
N182 (B38),0.0,1.0,1.0
N5101 (B5),0.0,2.0,2.0
N5102 (B3),0.0,1.0,1.0
N5103 (B3),0.0,1.0,1.0
N5104 (B3),0.0,3.0,3.0
N5105 (B5),0.0,1.0,1.0
N182 (B14),0.0,1.0,1.0
N5106 (B17),0.0,2.0,2.0
N5107 (B3),0.0,1.0,1.0
N5108 (B39),0.0,1.0,1.0
N182 (B12),0.0,1.0,1.0
N1909 (B4),0.0,3.0,3.0
N5109 (B40),0.0,1.0,1.0
N5110 (B41),0.0,1.0,1.0
N5111 (B17),0.0,1.0,1.0
N5110 (B4),0.0,1.0,1.0
N5112 (B7),0.0,1.0,1.0
N5113 (B4),0.0,1.0,1.0
N5114 (B4),0.0,1.0,1.0
N5115 (B4),0.0,1.0,1.0
N187 (B30),0.0,1.0,1.0
N5116 (B3),0.0,1.0,1.0
N5117 (B12),0.0,1.0,1.0
N190 (B11),0.0,1.0,1.0
N5118 (B17),0.0,2.0,2.0
N5119 (B42),0.0,1.0,1.0
N5120 (B5),0.0,1.0,1.0
N195 (B43),0.0,2.0,2.0
N5121 (B44),0.0,1.0,1.0
N5122 (B7),0.0,1.0,1.0
N197 (B7),0.0,1.0,1.0
N5123 (B4),0.0,1.0,1.0
N5124 (B3),0.0,1.0,1.0
N5125 (B3),0.0,1.0,1.0
N5126 (B45),0.0,1.0,1.0
N202 (B4),0.0,1.0,1.0
N5127 (B4),0.0,1.0,1.0
N203 (B4),0.0,1.0,1.0
N5128 (B37),0.0,3.0,3.0
N5129 (B11),1.0,1.0,2.0
N205 (B4),0.0,1.0,1.0
N5130 (B20),0.0,1.0,1.0
N207 (B43),0.0,1.0,1.0
N208 (B4),0.0,1.0,1.0
N5131 (B3),0.0,1.0,1.0
N5132 (B3),0.0,1.0,1.0
N5133 (B5),0.0,1.0,1.0
N3374 (B4),1.0,1.0,2.0
N5134 (B4),0.0,1.0,1.0
N212 (B4),0.0,2.0,2.0
N5135 (B4),0.0,1.0,1.0
N5136 (B7),0.0,1.0,1.0
N1622 (B7),0.0,1.0,1.0
N1622 (B8),0.0,2.0,2.0
N5137 (B4),0.0,1.0,1.0
N215 (B4),0.0,1.0,1.0
N216 (B20),0.0,1.0,1.0
N5138 (B3),0.0,2.0,2.0
N5139 (B3),0.0,1.0,1.0
N5140 (B3),0.0,1.0,1.0
N5141 (B4),0.0,1.0,1.0
N5142 (B4),0.0,2.0,2.0
N217 (B12),0.0,1.0,1.0
N218 (B3),0.0,1.0,1.0
N219 (B14),0.0,1.0,1.0
N220 (B3),0.0,2.0,2.0
N5143 (B5),0.0,1.0,1.0
N5144 (B3),0.0,2.0,2.0
N5145 (B14),0.0,1.0,1.0
N223 (B38),0.0,1.0,1.0
N5146 (B17),0.0,2.0,2.0
N5147 (B3),0.0,1.0,1.0
N5148 (B3),0.0,1.0,1.0
N226 (B4),0.0,1.0,1.0
N5149 (B17),0.0,1.0,1.0
N228 (B4),0.0,1.0,1.0
N5150 (B43),0.0,1.0,1.0
N2289 (B14),0.0,2.0,2.0
N230 (B4),0.0,1.0,1.0
N5151 (B20),1.0,1.0,2.0
N5152 (B5),0.0,1.0,1.0
N5153 (B4),0.0,1.0,1.0
N5154 (B10),0.0,1.0,1.0
N3663 (B30),0.0,1.0,1.0
N5155 (B3),0.0,1.0,1.0
N236 (B4),0.0,1.0,1.0
N5156 (B3),0.0,2.0,2.0
N1482 (B4),1.0,2.0,3.0
N5157 (B30),0.0,1.0,1.0
N5158 (B12),0.0,1.0,1.0
N5159 (B12),0.0,1.0,1.0
N5160 (B4),1.0,1.0,2.0
N243 (B3),1.0,1.0,2.0
N5161 (B3),0.0,1.0,1.0
N245 (B4),0.0,1.0,1.0
N5162 (B30),0.0,1.0,1.0
N5163 (B4),1.0,2.0,3.0
N5164 (B4),0.0,1.0,1.0
N5165 (B46),0.0,1.0,1.0
N5166 (B11),0.0,1.0,1.0
N5167 (B3),0.0,1.0,1.0
N250 (B30),0.0,1.0,1.0
N251 (B4),0.0,1.0,1.0
N252 (B4),0.0,1.0,1.0
N253 (B3),0.0,1.0,1.0
N254 (B30),0.0,1.0,1.0
N5168 (B4),0.0,1.0,1.0
N5169 (B30),0.0,1.0,1.0
N5170 (B11),0.0,1.0,1.0
N5171 (B5),0.0,1.0,1.0
N259 (B17),0.0,1.0,1.0
N1083 (B47),0.0,1.0,1.0
N5172 (B4),0.0,1.0,1.0
N5173 (B17),0.0,1.0,1.0
N263 (B7),0.0,1.0,1.0
N5174 (B21),0.0,1.0,1.0
N5175 (B24),0.0,57.0,57.0
N5176 (B4),0.0,1.0,1.0
N5177 (B4),0.0,1.0,1.0
N5178 (B48),0.0,1.0,1.0
N269 (B5),0.0,2.0,2.0
N270 (B39),0.0,1.0,1.0
N5179 (B5),0.0,5.0,5.0
N5180 (B4),0.0,1.0,1.0
N5181 (B4),0.0,1.0,1.0
N5182 (B4),0.0,2.0,2.0
N5183 (B30),0.0,1.0,1.0
N5184 (B17),0.0,1.0,1.0
N271 (B14),2.0,2.0,4.0
N5185 (B5),0.0,1.0,1.0
N5186 (B5),0.0,1.0,1.0
N5187 (B18),0.0,1.0,1.0
N5188 (B13),0.0,2.0,2.0
N5189 (B5),0.0,1.0,1.0
N5190 (B3),0.0,1.0,1.0
